CleanedJuryData.csv,judge,type,code,jcp,age,gender,edu,,NOTES,,
36,EBB,civil,NCP,NCP,50,F,12,,,,
36,EBB,civil,NCP,NCP,59,F,19,,,,
36,EBB,civil,NCP,NCP,47,M,17,,,,
36,EBB,civil,CP,CP,49,M,22,,,,
36,EBB,civil,J,NCP,40,M,12,,,,
36,EBB,civil,PP,NCP,39,M,19,,,,
36,EBB,civil,J,NCP,40,M,14,,,,
36,EBB,civil,CP,CP,29,F,22,,,,
36,EBB,civil,PD,NCP,42,M,17,,,,
36,EBB,civil,PP,NCP,34,F,16,,,,
36,EBB,civil,J,NCP,55,M,21,,,,
36,EBB,civil,J,NCP,47,M,14,,,,
36,EBB,civil,J,NCP,58,F,12,,,,
36,EBB,civil,CP,CP,58,F,22,,,,
36,EBB,civil,CP,CP,61,F,11,,,,
36,EBB,civil,CP,CP,21,M,13,,,,
36,EBB,civil,CP,CP,62,F,18,,,,
36,EBB,civil,J,NCP,32,M,13,,,,
36,EBB,civil,J,NCP,39,F,12,,,,
36,EBB,civil,CP,CP,47,F,16,,,,
36,EBB,civil,CP,CP,44,F,14,,,,
36,EBB,civil,CP,CP,48,F,19,,,,
36,EBB,civil,J,NCP,48,M,18,,,,
36,EBB,civil,CP,CP,41,F,12,,,,
36,EBB,civil,PD,NCP,23,F,14,,,,
36,EBB,civil,CP,CP,46,M,13,,,,
36,EBB,civil,CP,CP,26,F,16,,,,
36,EBB,civil,CP,CP,35,F,12,,,,
36,EBB,civil,PD,NCP,59,M,12,,,,
37,PCD,civil,J,NCP,40,F,16,,,,
37,PCD,civil,PP,NCP,61,M,14,,,,
37,PCD,civil,CP,CP,44,F,15,,,,
37,PCD,civil,J,NCP,34,M,17,,,,
37,PCD,civil,PPPD,NCP,34,M,18,,,,
37,PCD,civil,PD,NCP,53,M,18,,,,
37,PCD,civil,J,NCP,38,M,12,,,,
37,PCD,civil,J,NCP,65,M,12,,,,
37,PCD,civil,CP,CP,32,F,16,,,,
37,PCD,civil,J,NCP,62,M,16,,,,
37,PCD,civil,CP,CP,53,F,9,,,,
37,PCD,civil,PP,NCP,62,M,12,,,,
37,PCD,civil,J,NCP,31,M,22,,,,
37,PCD,civil,CP,CP,45,F,14,,,,
37,PCD,civil,CP,CP,42,M,12,,,,
37,PCD,civil,CP,CP,32,M,14,,,,
37,PCD,civil,PP,NCP,59,M,12,,,,
37,PCD,civil,CP,CP,38,M,11,,,,
37,PCD,civil,PD,NCP,50,F,13,,,,
37,PCD,civil,CP,CP,28,M,14,,,,
37,PCD,civil,J,NCP,46,M,13,,,,
